num_nodes,num_keys,checkpoint,checkpoint_scan,checkpoint_network,checkpoint_verify,checkpoint_update
100,10000000,168.79274,15.933318,103.421364,14.105272,34.51686
100,10000000,168.79074,14.976646,103.94371,14.395627,34.675667
100,10000000,168.82642,14.685011,107.49288,14.240595,31.624123
100,10000000,168.7918,13.7123165,104.73929,14.281502,35.256596
100,10000000,168.84032,16.788527,102.433426,14.436342,34.121838
100,10000000,168.8649,15.544298,103.1497,14.735095,34.408894
100,10000000,168.81964,16.990803,100.85701,14.324749,35.826706
100,10000000,168.78175,14.236001,106.95659,14.518552,32.251854
100,10000000,168.82224,14.393516,102.4918,14.344436,36.47715
100,10000000,168.83769,14.690361,102.383965,14.347334,36.529392

100,30000000,507.50797,35.68338,351.67828,41.308453,77.34898
100,30000000,507.7496,37.60169,345.69324,41.917854,80.96561
100,30000000,507.7667,41.63585,342.86786,41.422493,80.40481
100,30000000,508.0006,34.705868,352.40564,41.16841,78.81597
100,30000000,508.26926,36.975548,359.5319,41.46379,69.445885
100,30000000,508.03992,34.616024,352.17413,41.994606,77.895424
100,30000000,508.1548,37.198536,361.68433,40.796844,67.07101
100,30000000,508.10068,39.680546,346.68225,42.09984,78.22166
100,30000000,508.13126,36.351563,352.68033,41.87036,76.10741
100,30000000,508.12653,49.284622,335.0752,42.180317,80.09173
100,30000000,508.18436,37.023888,349.83313,41.53368,78.3539
100,30000000,508.22543,33.666485,354.55725,41.40525,77.06223
100,30000000,508.31946,41.53933,344.20834,41.94724,79.19452
100,30000000,508.2187,39.84421,344.99075,41.861008,80.0334
100,30000000,508.30362,39.96897,348.10376,41.794674,77.00477
100,30000000,508.31934,35.870457,352.11557,41.04589,78.304276
100,30000000,508.29813,39.26213,346.8864,41.74002,79.459915
100,30000000,508.3382,42.808506,345.15335,41.933167,77.046844
100,30000000,508.26886,48.59834,338.26837,42.199287,78.28291
100,30000000,508.40134,38.40326,349.06613,42.133,77.403625
100,30000000,508.36636,39.43723,345.2041,42.149113,80.61125
100,30000000,508.48706,36.49433,350.3502,41.56137,79.09898
100,30000000,508.5309,40.8936,344.97818,42.68571,78.54229
100,30000000,508.36057,39.167202,347.07846,41.876213,79.34868
100,30000000,508.51636,38.587063,346.85553,41.69808,80.433395
100,30000000,508.43445,36.46818,346.3336,42.066425,82.066185
100,30000000,508.57117,36.770313,350.8006,42.06533,77.471115
100,30000000,508.6383,35.36352,351.73807,41.235455,79.354416
100,30000000,508.52185,35.353825,352.57,41.985706,77.698845
100,30000000,510.34006,49.03459,282.12695,43.103867,134.71529
100,30000000,510.28125,49.698097,279.96295,43.168,136.06456
100,30000000,510.37122,46.54227,284.6058,43.43014,133.77025
100,30000000,510.20898,50.147663,276.4565,43.630283,137.7622
100,30000000,510.52213,52.135277,285.52264,43.45892,127.4175
100,30000000,510.60712,46.9845,284.32843,45.000725,132.27869
100,30000000,510.5779,49.837196,277.95676,43.75839,136.91129
100,30000000,510.69843,46.670773,284.87976,44.028843,133.04411
100,30000000,510.73306,46.103386,279.58264,42.95493,140.0275
100,30000000,510.74298,51.82639,277.63806,44.757675,134.49644
100,30000000,510.5723,55.73258,269.90634,44.37248,138.60663
100,30000000,510.82104,43.250443,288.95615,43.06135,134.00653
100,30000000,510.93817,48.861256,286.47687,42.692562,131.61847
100,30000000,510.70145,56.76649,281.35123,43.94883,126.67738
100,30000000,510.6819,47.478687,282.6013,43.585217,135.09395
100,30000000,510.9801,49.800167,279.1514,43.235256,137.50493
100,30000000,511.10715,56.07195,279.1692,43.284355,130.56929
100,30000000,510.99417,54.523895,272.62405,43.98489,138.5101
100,30000000,511.05804,54.85146,277.70792,43.571278,133.56842
100,30000000,511.05374,47.998394,286.4018,43.76921,130.86249
100,30000000,510.99384,57.091713,267.972,43.05918,141.47362
100,30000000,511.01056,46.902836,281.7985,43.999165,136.88881
100,30000000,511.25946,58.015633,284.0694,43.410213,123.73166
100,30000000,511.15662,45.125126,287.93723,44.36097,132.40016
100,30000000,511.05527,48.68188,278.5195,43.54107,138.95276
100,30000000,510.97684,54.630558,270.85428,43.1167,140.98915
100,30000000,510.91275,49.697598,282.87128,43.205578,133.75671
100,30000000,511.14883,51.69504,277.64374,42.793423,137.61433
100,30000000,511.21625,56.035816,271.24033,43.026867,138.88809
100,30000000,511.39203,43.661945,286.4062,43.764923,136.20888
100,30000000,511.38666,45.86376,273.42694,43.94972,146.02368
100,30000000,511.448,47.252163,284.35803,42.870815,135.62218
100,30000000,511.30173,48.070522,284.9432,42.734043,134.30583
100,30000000,511.35062,56.079796,267.0089,43.26673,143.55827
100,30000000,511.50943,49.945717,301.4705,42.215004,116.4236
100,30000000,511.50787,49.10805,278.30295,43.274696,139.57967
100,30000000,511.6301,47.95272,276.2689,43.745556,142.30516
100,30000000,511.65714,47.414467,283.5289,43.342567,136.01927

100,60000000,1013.20264,84.01683,675.099,83.97952,167.49799
100,60000000,1013.416,75.862404,683.5982,82.31504,169.10643
100,60000000,1014.23926,77.30868,680.53217,82.80847,171.84572
100,60000000,1014.8297,89.60078,661.9305,84.66047,176.202
100,60000000,1014.8968,81.01214,671.52496,84.38535,176.29384
100,60000000,1015.0832,87.63033,668.65106,83.41347,172.59833
100,60000000,1015.1054,74.179695,684.41235,82.27639,172.63803
100,60000000,1015.36993,73.272675,684.38007,82.63604,172.17355
100,60000000,1015.2726,76.956635,679.5094,84.627945,171.68913
100,60000000,1015.40826,80.26021,698.6279,82.151985,151.68352
100,60000000,1015.2947,90.06034,668.23016,83.420944,171.07263
100,60000000,1015.314,81.29149,676.8692,82.412,173.0435
100,60000000,1015.15344,84.88244,668.8704,83.53084,176.37004
100,60000000,1015.484,72.35944,681.0308,83.78612,175.7903
100,60000000,1015.3571,85.287445,670.4488,83.711044,174.34206
100,60000000,1015.28705,87.668495,667.302,83.7399,174.04358
100,60000000,1015.4149,85.84311,660.93353,82.948715,182.95378
100,60000000,1015.3008,76.3941,679.5173,82.95239,175.0431
100,60000000,1015.27655,77.82987,673.7137,84.90531,176.0797
